book_id,isbn,isbn13,authors,original_publication_year,original_title,language_code,average_rating,price,image_url
1,439023483,9.78E+12,Suzanne Collins,2008,The Hunger Games,eng,4.34,20.02,https://images.gr-assets.com/books/1447303603m/2767052.jpg
2,439554934,9.78E+12,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,eng,4.44,17.32,https://images.gr-assets.com/books/1474154022m/3.jpg
3,316015849,9.78E+12,Stephenie Meyer,2005,Twilight,en-US,3.57,17.71,https://images.gr-assets.com/books/1361039443m/41865.jpg
4,61120081,9.78E+12,Harper Lee,1960,To Kill a Mockingbird,eng,4.25,18.75,https://images.gr-assets.com/books/1361975680m/2657.jpg
5,743273567,9.78E+12,F. Scott Fitzgerald,1925,The Great Gatsby,eng,3.89,14.67,https://images.gr-assets.com/books/1490528560m/4671.jpg
6,525478817,9.78E+12,John Green,2012,The Fault in Our Stars,eng,4.26,18.78,https://images.gr-assets.com/books/1360206420m/11870085.jpg
7,618260307,9.78E+12,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,en-US,4.25,18.75,https://images.gr-assets.com/books/1372847500m/5907.jpg
8,316769177,9.78E+12,J.D. Salinger,1951,The Catcher in the Rye,eng,3.79,18.37,https://images.gr-assets.com/books/1398034300m/5107.jpg
9,1416524797,9.78E+12,Dan Brown,2000,Angels & Demons ,en-CA,3.85,14.55,https://images.gr-assets.com/books/1303390735m/960.jpg
10,679783261,9.78E+12,Jane Austen,1813,Pride and Prejudice,eng,4.24,15.72,https://images.gr-assets.com/books/1320399351m/1885.jpg
11,1594480001,9.78E+12,Khaled Hosseini,2003,The Kite Runner ,eng,4.26,18.78,https://images.gr-assets.com/books/1484565687m/77203.jpg
12,62024035,9.78E+12,Veronica Roth,2011,Divergent,eng,4.24,17.72,https://images.gr-assets.com/books/1328559506m/13335037.jpg
13,451524934,9.78E+12,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,eng,4.14,18.42,https://images.gr-assets.com/books/1348990566m/5470.jpg
14,452284244,9.78E+12,George Orwell,1945,Animal Farm: A Fairy Story,eng,3.87,14.61,https://images.gr-assets.com/books/1424037542m/7613.jpg
15,553296981,9.78E+12,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,eng,4.1,16.3,https://images.gr-assets.com/books/1358276407m/48855.jpg
16,307269752,9.78E+12,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,eng,4.11,17.33,https://images.gr-assets.com/books/1327868566m/2429135.jpg
17,439023491,9.78E+12,Suzanne Collins,2009,Catching Fire,eng,4.3,17.9,https://images.gr-assets.com/books/1358273780m/6148028.jpg
18,043965548X,9.78E+12,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,eng,4.53,19.59,https://images.gr-assets.com/books/1499277281m/5.jpg
19,618346252,9.78E+12,J.R.R. Tolkien,1954, The Fellowship of the Ring,eng,4.34,16.02,https://images.gr-assets.com/books/1298411339m/34.jpg
20,439023513,9.78E+12,Suzanne Collins,2010,Mockingjay,eng,4.03,15.09,https://images.gr-assets.com/books/1358275419m/7260188.jpg
21,439358078,9.78E+12,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,eng,4.46,20.38,https://images.gr-assets.com/books/1387141547m/2.jpg
22,316166685,9.78E+12,Alice Sebold,2002,The Lovely Bones,eng,3.77,17.31,https://images.gr-assets.com/books/1457810586m/12232938.jpg
23,439064864,9.78E+12,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,eng,4.37,16.11,https://images.gr-assets.com/books/1474169725m/15881.jpg
24,439139600,9.78E+12,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,eng,4.53,19.59,https://images.gr-assets.com/books/1361482611m/6.jpg
